SortID,Order,Family,Species common name,Species scientific name,PhyloName,duplicate,Source,Nest materials raw,Anthropogenic,Number-Mat,BodyMass,str-none,str-scrape,str-platform,str-cup,str-dome,str-ex,loc-artificial,loc-ground-water,loc-cavity,loc-rock,loc-veg,RangeSize,IUCN-category-2020,IUCN-simplified,HFI,Biome-simplified,str-scrapenone,Plastic,WoS-Papers,BrainSize
4,STRUTHIONIFORMES,Rheidae,Lesser Rhea,Rhea pennata,Rhea pennata,0,HBW,"Dry grass, twigs",0,2,248.75,0,1,0,0,0,0,0,1,0,0,0,130,LC,Least-concerned,11.2690914,grasslands,1,0,72,NA
7,STRUTHIONIFORMES,Tinamidae,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,0,HBW,"Leaves, thin plant stems",0,2,131.15,0,1,0,0,0,0,0,1,1,0,0,56,LC,Least-concerned,29.12026927,tropical-forests,1,0,0,NA
9,STRUTHIONIFORMES,Tinamidae,Grey Tinamou,Tinamus tao,Tinamus tao,0,HBW,Leaves,0,1,287.54,0,1,0,0,0,0,0,1,0,0,0,376,VU,Threatened,13.68999194,tropical-forests,1,0,3,NA
10,STRUTHIONIFORMES,Tinamidae,Solitary Tinamou,Tinamus solitarius,Tinamus solitarius,0,HBW,Leaves,0,1,142,0,1,0,0,0,0,0,1,0,0,0,112,NT,Threatened,32.61286672,tropical-forests,1,0,15,NA
12,STRUTHIONIFORMES,Tinamidae,Great Tinamou,Tinamus major,Tinamus major,0,HBW,Large dead leaves,0,1,186.48,0,1,0,0,0,0,0,1,0,0,0,646,LC,Least-concerned,19.08925571,tropical-forests,1,0,25,0.901628251
17,STRUTHIONIFORMES,Tinamidae,Little Tinamou,Crypturellus soui,Crypturellus soui,0,HBW,Leaves,0,1,122,0,1,0,0,0,0,0,1,0,0,0,895,LC,Least-concerned,16.5143503,tropical-forests,1,0,2,NA
20,STRUTHIONIFORMES,Tinamidae,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus strigulosus,0,HBW,Leaves,0,1,157.51,0,1,0,0,0,0,0,1,0,0,0,264,LC,Least-concerned,11.51948942,tropical-forests,1,0,0,NA
26,STRUTHIONIFORMES,Tinamidae,Eastern Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,0,HBW,Leaves,0,1,368,0,1,0,0,0,0,0,1,0,0,0,97,LC,Least-concerned,29.84836038,tropical-forests,1,0,3,NA
28,STRUTHIONIFORMES,Tinamidae,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,0,HBW,Leaves,0,1,130.6,0,1,0,0,0,0,0,1,0,0,0,48,VU,Threatened,33.16978905,tropical-forests,1,0,1,NA
36,STRUTHIONIFORMES,Tinamidae,Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus rufescens,0,HBW,Grass,0,1,165.73,0,1,0,0,0,0,0,1,0,0,0,424,LC,Least-concerned,24.22485901,grasslands,1,0,22,NA
39,STRUTHIONIFORMES,Tinamidae,Ornate Tinamou,Nothoprocta ornata,Nothoprocta ornata,0,HBW,"Twigs, grass, feathers",0,3,97.8,NA,NA,NA,NA,NA,NA,0,1,0,0,0,92,LC,Least-concerned,18.61942942,grasslands,NA,0,8,1.047
39,STRUTHIONIFORMES,Tinamidae,Ornate Tinamou,Nothoprocta ornata,Nothoprocta ornata,1,NBO,grass,0,1,97.8,NA,NA,NA,NA,NA,NA,0,1,0,0,0,92,LC,Least-concerned,18.61942942,grasslands,NA,0,NA,1.047
40,STRUTHIONIFORMES,Tinamidae,Chilean Tinamou,Nothoprocta perdicaria,Nothoprocta perdicaria,0,HBW,Grass,0,1,156,NA,NA,NA,NA,NA,NA,0,1,0,0,0,22,LC,Least-concerned,29.97514706,med,NA,0,14,NA
41,STRUTHIONIFORMES,Tinamidae,Brushland Tinamou,Nothoprocta cinerascens,Nothoprocta cinerascens,0,HBW,Grass,0,1,125,0,1,0,0,0,0,0,1,0,0,0,131,LC,Least-concerned,17.71077644,grasslands,1,0,1,NA
42,STRUTHIONIFORMES,Tinamidae,Andean Tinamou,Nothoprocta pentlandii,Nothoprocta pentlandii,0,HBW,"Straw, thin stems, feathers",0,3,111.2,0,1,0,0,0,0,0,1,0,0,0,111,LC,Least-concerned,19.72255822,grasslands,1,0,4,NA
42,STRUTHIONIFORMES,Tinamidae,Andean Tinamou,Nothoprocta pentlandii,Nothoprocta pentlandii,1,NBO,"straw, thin stems, feathers",0,3,111.2,0,1,0,0,0,0,0,1,0,0,0,111,LC,Least-concerned,19.72255822,grasslands,1,0,NA,NA
46,STRUTHIONIFORMES,Tinamidae,Darwin's Nothura,Nothura darwinii,Nothura darwinii,1,HBW,"Grass, feathers",0,2,136.82,0,1,0,0,0,0,0,1,0,0,0,130,LC,Least-concerned,18.09534152,grasslands,1,0,NA,NA
46,STRUTHIONIFORMES,Tinamidae,Darwin's Nothura,Nothura darwinii,Nothura darwinii,0,NBO,"grass, feathers, twigs",0,3,136.82,0,1,0,0,0,0,0,1,0,0,0,130,LC,Least-concerned,18.09534152,grasslands,1,0,6,NA
47,STRUTHIONIFORMES,Tinamidae,Spotted Nothura,Nothura maculosa,Nothura chacoensis,1,HBW,"Leaves, twigs",0,2,251.76,0,1,0,0,0,0,0,1,0,0,0,16,LC,Least-concerned,25.87400715,grasslands,1,0,NA,NA
47,STRUTHIONIFORMES,Tinamidae,Spotted Nothura,Nothura maculosa,Nothura chacoensis,0,NBO,"grass, forbs, feathers",0,3,251.76,0,1,0,0,0,0,0,1,0,0,0,16,LC,Least-concerned,25.87400715,grasslands,1,0,2,NA
49,STRUTHIONIFORMES,Tinamidae,Dwarf Tinamou,Taoniscus nanus,Taoniscus nanus,0,HBW,"Grass, small leaves",0,2,675,NA,NA,NA,NA,NA,NA,0,1,0,0,0,59,EN,Endangered,27.62590823,grasslands,NA,0,3,NA
50,STRUTHIONIFORMES,Tinamidae,Elegant Crested Tinamou,Eudromia elegans,Eudromia elegans,0,NBO,"feathers, twigs, other dry material",0,3,198.41,NA,NA,NA,NA,NA,NA,0,1,0,0,0,147,LC,Least-concerned,16.14466512,grasslands,NA,0,35,NA
53,STRUTHIONIFORMES,Tinamidae,Patagonian Tinamou,Tinamotis ingoufi,Tinamotis ingoufi,0,NBO,strands of coarse grass,0,1,358.7,0,1,0,0,0,0,0,1,0,0,0,49,LC,Least-concerned,16.70109821,grasslands,1,0,0,NA
54,STRUTHIONIFORMES,Casuariidae,Southern Cassowary,Casuarius casuarius,Casuarius casuarius,0,HBW,"Twigs, sticks, leaves, grass, debris",0,5,1050,NA,NA,NA,NA,NA,NA,0,1,0,0,0,101,LC,Least-concerned,11.31063298,tropical-forests,NA,0,58,NA
55,STRUTHIONIFORMES,Casuariidae,Dwarf Cassowary,Casuarius bennetti,Casuarius bennetti,0,HBW,"Leaves, twigs",0,2,222.49,0,1,0,0,0,0,0,1,0,0,0,72,LC,Least-concerned,13.0885547,tropical-forests,1,0,9,NA
57,STRUTHIONIFORMES,Casuariidae,Common Emu,Dromaius novaehollandiae,Dromaius novaehollandiae,0,HBW,"Leaves, twigs, grass",0,3,214,0,1,0,0,0,0,0,1,0,0,0,416,LC,Least-concerned,10.01979603,desert,1,0,422,3.363149314
61,STRUTHIONIFORMES,Apterygidae,Little Spotted Kiwi,Apteryx owenii,Apteryx owenii,0,HBW,"Leaves, twigs",0,2,180.41,1,0,0,0,0,1,1,0,1,0,0,2,NT,Threatened,28.94156621,temperate-forests,1,0,35,NA
63,STRUTHIONIFORMES,Apterygidae,Southern Brown Kiwi,Apteryx australis,Apteryx australis,0,HBW,Fern fronds,0,1,265,1,0,0,0,0,1,0,0,1,0,0,6,VU,Threatened,1.75551954,temperate-forests,1,0,92,NA
64,STRUTHIONIFORMES,Apterygidae,Rowi,Apteryx rowi,Apteryx australis,1,HBW,Softer material,0,1,265,1,0,0,0,0,1,0,0,1,0,0,6,VU,Threatened,13.48582851,temperate-forests,1,0,NA,NA
65,GALLIFORMES,Megapodiidae,Australian Brush-turkey,Alectura lathami,Alectura lathami,0,HBW,"Damp leaf litter, earth, debris",0,3,763.54,0,0,0,0,0,0,0,0,1,0,0,86,LC,Least-concerned,12.33204576,grasslands,0,0,60,1.734475617
66,GALLIFORMES,Megapodiidae,Wattled Brush-turkey,Aepypodius arfakianus,Aepypodius arfakianus,0,HBW,"Leaves, twigs",0,2,87.43,0,0,0,0,0,0,0,0,1,0,0,52,LC,Least-concerned,12.77285386,tropical-forests,0,0,3,NA
67,GALLIFORMES,Megapodiidae,Waigeo Brush-turkey,Aepypodius bruijnii,Aepypodius bruijnii,0,HBW,"Leaves, sticks, twigs",0,3,117,0,0,0,0,0,0,0,0,1,0,0,4,EN,Endangered,16.29543403,tropical-forests,0,0,3,NA
68,GALLIFORMES,Megapodiidae,Red-billed Brush-turkey,Talegalla cuvieri,Talegalla cuvieri,0,HBW,"Leaves, sticks ",0,2,220.79,0,0,0,0,0,0,0,0,1,0,0,21,LC,Least-concerned,10.33316208,tropical-forests,0,0,3,NA
69,GALLIFORMES,Megapodiidae,Black-billed Brush-turkey,Talegalla fuscirostris,Talegalla fuscirostris,0,HBW,"Dead leaves, sticks",0,2,326.06,0,0,0,0,0,0,0,0,1,0,0,49,LC,Least-concerned,10.16452055,tropical-forests,0,0,1,NA
70,GALLIFORMES,Megapodiidae,Collared Brush-turkey,Talegalla jobiensis,Talegalla jobiensis,0,HBW,Humus,0,1,195,0,0,0,0,0,0,0,0,1,0,0,38,LC,Least-concerned,13.78885996,tropical-forests,0,0,3,NA
71,GALLIFORMES,Megapodiidae,Malleefowl,Leipoa ocellata,Leipoa ocellata,0,HBW,"Leaves, sticks, bark, debris, sand",0,5,214.76,0,0,0,0,0,0,0,0,1,0,0,153,VU,Threatened,12.94788549,med,0,0,73,1.457538699
74,GALLIFORMES,Megapodiidae,Nicobar Scrubfowl,Megapodius nicobariensis,Megapodius nicobariensis,0,HBW,"Sand, leaves, coral debris, plant matter",0,4,315,0,0,0,0,0,0,0,0,1,0,0,2,VU,Threatened,11.88916635,tropical-forests,0,0,3,NA
78,GALLIFORMES,Megapodiidae,Vanuatu Scrubfowl,Megapodius layardi,Megapodius layardi,0,HBW,"Leaves, twigs, uncertain (sand?)",0,3,214.8,0,0,0,0,0,1,0,0,1,0,0,12,VU,Threatened,18.8655784,tropical-forests,0,0,2,NA
79,GALLIFORMES,Megapodiidae,Micronesian Scrubfowl,Megapodius laperouse,Megapodius laperouse,0,HBW,"Leaf-litter, sand, coralline rubble, volcanic soil, sand, organic matter",0,6,172.71,0,0,0,0,0,1,0,0,1,0,0,6,NT,Threatened,11.3680593,tropical-forests,0,0,6,NA
81,GALLIFORMES,Megapodiidae,Dusky Scrubfowl,Megapodius freycinet,Megapodius freycinet,0,HBW,"Stones, leaves, sand, soil",0,4,209,0,0,0,0,0,0,0,0,1,0,0,23,LC,Least-concerned,NA,tropical-forests,0,0,5,NA
85,GALLIFORMES,Megapodiidae,Orange-footed Scrubfowl,Megapodius reinwardt,Megapodius reinwardt,0,HBW,"Leaves, sticks, earth, sand, general debris (including from humans)",0,5,198,0,0,0,0,0,1,0,0,1,0,0,186,LC,Least-concerned,NA,tropical-forests,0,0,15,NA
86,GALLIFORMES,Cracidae,Black Guan,Chamaepetes unicolor,Chamaepetes unicolor,0,HBW,"Leaves, twigs",0,2,164.77,0,0,1,0,0,0,0,0,0,0,1,10,LC,Least-concerned,35.57215993,tropical-forests,0,0,1,NA
87,GALLIFORMES,Cracidae,Sickle-winged Guan,Chamaepetes goudotii,Chamaepetes goudotii,0,HBW,"Moss, dead vegetation, green leaves, slender branches, Chusquea scandens mamboo, Poaceae, vines",0,7,130.59,0,0,1,0,0,0,0,0,0,0,1,66,LC,Least-concerned,25.9341719,tropical-forests,0,0,4,NA
88,GALLIFORMES,Cracidae,Highland Guan,Penelopina nigra,Penelopina nigra,1,HBW,"Sticks, other plant material, leaves, feathers",0,4,96.38,NA,NA,NA,NA,NA,NA,0,1,0,0,1,23,VU,Threatened,37.5130526,tropical-forests,NA,0,NA,NA
88,GALLIFORMES,Cracidae,Highland Guan,Penelopina nigra,Penelopina nigra,0,NBO,"fresh and dry leafs, twigs, rootlets, leafs, moss, pine needles",0,6,96.38,NA,NA,NA,NA,NA,NA,0,1,0,0,1,23,VU,Threatened,37.5130526,tropical-forests,NA,0,6,NA
92,GALLIFORMES,Cracidae,Andean Guan,Penelope montagnii,Penelope montagnii,0,HBW,"Twigs, leaves, bark, lichen",0,4,249.29,0,0,1,0,0,0,NA,NA,NA,NA,NA,89,LC,Least-concerned,26.28448496,tropical-forests,0,0,3,NA
94,GALLIFORMES,Cracidae,Rusty-margined Guan,Penelope superciliaris,Penelope superciliaris,0,HBW,"Twigs, live leaves, dead leaves, stems",0,4,146,0,0,1,0,0,0,0,0,0,0,1,502,NT,Threatened,22.084476,tropical-forests,0,0,13,NA
95,GALLIFORMES,Cracidae,Red-faced Guan,Penelope dabbenei,Penelope dabbenei,0,HBW,"Twigs, stems, leaves  ",0,3,265.04,0,0,1,0,0,0,0,0,0,0,1,10,LC,Least-concerned,20.17445139,tropical-forests,0,0,1,NA
96,GALLIFORMES,Cracidae,Spix's Guan,Penelope jacquacu,Penelope jacquacu,0,HBW,Leaves,0,1,233,NA,NA,NA,NA,NA,NA,0,0,0,0,1,458,LC,Least-concerned,9.450935753,tropical-forests,NA,0,2,NA
97,GALLIFORMES,Cracidae,Crested Guan,Penelope purpurascens,Penelope purpurascens,0,HBW,"Twigs, sticks, leaves  ",0,3,116.99,0,0,1,0,0,0,0,0,0,0,1,190,NT,Threatened,28.19330566,tropical-forests,0,0,11,1.807790732
97,GALLIFORMES,Cracidae,Crested Guan,Penelope purpurascens,Penelope purpurascens,1,NBO,"twigs, leaves",0,2,116.99,0,0,1,0,0,0,0,0,0,0,1,190,NT,Threatened,28.19330566,tropical-forests,0,0,NA,1.807790732
98,GALLIFORMES,Cracidae,Cauca Guan,Penelope perspicax,Penelope perspicax,0,HBW,"Dry leaves, thin branches, dry leaves, leaves, stems of a Gleichenia fern   ",0,5,2958.03,NA,NA,NA,NA,NA,NA,0,0,0,0,1,5,VU,Threatened,27.92592659,tropical-forests,NA,0,5,NA
99,GALLIFORMES,Cracidae,White-winged Guan,Penelope albipennis,Penelope albipennis,0,HBW,"Twigs, leaves, green leaves",0,3,1047,0,0,1,0,0,0,0,0,0,1,1,5,EN,Endangered,24.82767373,tropical-forests,0,0,8,NA
99,GALLIFORMES,Cracidae,White-winged Guan,Penelope albipennis,Penelope albipennis,1,NBO,"twigs, leaves",0,2,1047,0,0,1,0,0,0,0,0,0,1,1,5,EN,Endangered,24.82767373,tropical-forests,0,0,NA,NA
100,GALLIFORMES,Cracidae,Dusky-legged Guan,Penelope obscura,Penelope obscura,0,HBW,"Twigs, stems, leaves, bromeliads",0,4,4247.97,NA,NA,NA,NA,NA,NA,0,0,0,0,1,125,LC,Least-concerned,28.07021811,tropical-forests,NA,0,20,NA
103,GALLIFORMES,Cracidae,White-browed Guan,Penelope jacucaca,Penelope jacucaca,0,HBW,"Sticks, dry leaves",0,2,2154.29,NA,NA,NA,NA,NA,NA,0,0,0,0,1,72,VU,Threatened,25.3759639,desert,NA,0,8,NA
